"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"CAR(5:0)",4.28901618549303,1.07870223801705,0.428901618549303,0.655294652005631,0.904964940349031,7.12612949544156,2.00000046916115,1.49999994912289,172.045120180955,4095.9965332788,0.000344419718271759,0.0140314978905036,0.954278756311698,0.999999258283165,0.506132935136763,0.000258621147821565,0.0606178704158296,1,-0.811734664236853,"t10"
"CAR(6:0)",7.60187463185543,1.34893877256485,0.760187463185543,1.21055119242002,1.39386749160141,1.86257628194452,5.95116776222143,0.307640676719042,32.3390474187113,0.00000995171252241352,0.000000003646857137501,0.000433068565960679,0.109364071081813,0.0715513334033298,0.999805541369023,0.000000479258027113298,0.00000083513028448773,0.0913774674177033,-3.67494399191357,"t10"
"CAR(8:0)",4.29083901886497,1.02728854131983,0.429083901886497,0.754427235246416,1.11138093299261,6.44876680289704,2.00000047081955,1.4999999545763,155.691650031275,4095.99690486929,0.000261332235162575,0.0126406600694441,0.891656058298043,0.818246646106353,0.383617966001455,0.0000926546010630537,0.0465171378589383,1,-0.813310087273441,"t10"
"CAR(DC5:0)",2.80574842119137,0.969090451001267,0.280574842119137,0.138696840617828,0.201857907732845,14.7575365663933,2.43255129204709,0.66722611173682,344.532839451683,0.00394277386029553,0.423498197538623,0.525408469805999,0.999999999730896,0.998890332978075,0.597048019752539,0.691693437989598,1,1,0.470211475917093,NA
"Carnitine",3.15302200997345,1.03244083818428,0.315302200997345,0.286050066155197,0.402302705044218,13.5975731965044,2.00000065484972,1.49999995568735,328.284250636068,4095.99698057493,0.113226871022481,0.222781858360302,0.999999606233432,0.99688011119368,0.203007244990858,0.206058962527186,1,1,0.170072790623007,NA
"Carnosine",2.97689504364985,0.940689630585087,0.297689504364985,-0.35811720048085,-0.0385762137358815,16.2073426488175,2.00000054255222,1.49999995303876,391.291541905266,4095.99680010265,0.706082206882592,0.637417505833387,0.700002776513798,0.985320198518433,0.999989482075723,0.999986845532891,1,1,0.322294318043495,NA
"CDP",3.07362467146477,0.908377568314942,0.307362467146477,0.281939198455038,0.0311558511161533,16.1253195992755,2.0000005033941,1.49999994931027,389.311272393069,4095.99654604672,0.25765464825149,0.263602745976474,0.572230649470455,0.372435895916129,0.336733027396501,0.999806736235317,1,1,0.238693652000404,NA
"CDP-Ethanolamine",3.78885384878684,1.28018384389407,0.378885384878684,1.6816644616465,2.27130765889303,3.56618500214561,4.20391878264656,0.437606509554689,72.1201668726812,0.0000864698210568784,0.000000187901810957172,0.000259356646793557,0.557228152723821,0.799218550770104,0.0000257292298337254,0.00000043871677134516,0.0000402109875448347,0.0570584622945826,-0.379458582721149,"t3"
"CDP-Ribitol",3.21866238186229,1.06769624969491,0.321866238186229,0.0618833411929598,0.0543793640981171,15.5757745360965,2.1793206880303,0.72287697372422,370.874478287804,0.00995093199905876,0.357457802317403,0.223269741972799,0.831965338276896,0.722562209846639,0.951255931450884,0.996413178106489,1,1,0.113341684206236,NA
"Cholesterol",3.18137009257434,1.00289794352307,0.318137009257434,0.0510233041735557,0.0619182919587486,15.7677106246128,2.00000050072143,1.4999999540762,380.677570417366,4095.99687079266,0.580891276172604,0.800535619204975,0.924864801482226,0.999421542218237,0.891906707244552,0.959008778922612,1,1,0.145572349134564,NA
