"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"Glucaric acid",3.00366003028881,1.01973384780401,0.300366003028881,0.319845316104578,0.456275043565916,12.9075504128843,2.00000071343702,1.49999995558105,337.317300267091,4095.99697333209,0.0373421440630256
"Gluconic acid",2.54708256520442,1.09863197838295,0.254708256520442,0.608210242751039,0.820076752921103,1.37103533020117,12.7367010818815,0.108574501285238,13.6199330437821,3.62827723327088e-07,0.136738277982841
"Glucose 6-phosphate",3.78881972584473,1.13953547363379,0.378881972584473,1.25505093533142,1.78710788600085,4.73678136625432,2.00000046843533,1.49999995904659,119.072879178625,4095.99720947055,-0.133585779927908
"Glucose",3.08192896371611,1.2363785779841,0.308192896371611,1.05362929986859,1.31318601328639,0.330877775166507,13.1087383893479,0.0438806335200978,2.88128589761461,1.23681684088309e-07,0.02030313100691
"Glutamate",1.69601325850983,1.13544027117574,0.169601325850983,0.380682687901201,-0.426910136064982,12.8489746609123,2.90203521025617,0.59061775756938,301.775345963033,0.00110237147798994,0.322014611688062
"Glutamine",2.87949856281689,1.18545968713565,0.287949856281689,-0.262711981975433,-0.0525285494994768,14.5075953558379,6.57256063108079,0.330728985293759,251.626755851248,1.46118223783711e-05,0.0643718833565279
"Glyceraldehyde 3-phosphate",11.7449633429912,1.31496203834994,1.17449633429912,1.19551884174871,1.41517413744284,0.921567664630767,26.9854416932297,-0.414348468516491,0.128970063400629,6.04962534802467e-11,-1.86562464940871
"Glycerate",2.58132224109467,1.05882881550537,0.258132224109467,-0.314439352647199,-0.4316267150336,13.275947961963,2.00000049578811,1.49999995784005,346.944761119459,4095.99712725815,0.129284359052502
"Glycerol 3-phosphate",3.85491508381195,1.26330684850292,0.385491508381195,1.26676122718862,1.59022716736286,4.29392585118495,4.50665670105318,0.434663225800358,93.0222574195503,8.23379707674347e-05,-0.147974626409355
"Glycerol",-1.46631662716027,1.06133526660356,-0.146631662716027,0.301171193854585,0.412169024413885,-7.26066680349843,27.9999991240791,-1.48883561375735,-1.98951966012828e-13,1.04438307122352e-18,1.01044842380492
"Glycine",-0.221661057917572,1.0418727176541,-0.0221661057917572,0.107093389472566,0.14842441950106,4.91336633007134,27.4793435986054,-0.42109867026713,0.391780969418562,5.4070472265613e-11,0.7394890333286
"GMP",-8.10188520794622,1.17778017798134,-0.810188520794622,1.83616645902913,3.01264372896328,0.242703297117663,23.2149730640304,-0.298768708910425,0.198466137950263,4.13770828078381e-10,2.45500036455394
"GSH",4.82562338312006,1.06539804621536,0.482562338312006,0.371142823901995,0.507755386673658,7.2580073635111,2.00000058992199,1.49999997398397,168.009421781909,4095.99822729017,-0.359296164359705
"GSSG",-4.39086517343594,1.12103226670916,-0.439086517343594,0.205538016545696,-0.216610369883618,4.15272368592238,28.9997920350336,-0.968923473744936,6.19320417172275e-09,5.95771063333806e-15,1.64711764467173
"GTP",0.920153167296122,1.04750250310768,0.0920153167296122,-0.833119898843219,-1.21439653477813,3.88139290000533,7.60279346413181,0.279206470084666,61.2778849107443,6.20109869563224e-06,0.490918027705461
"Guanidinosuccinic acid",2.89989640827113,0.968824659450694,0.289989640827113,-0.346204573688099,-0.164584707632876,15.6509451825724,2.00000063668425,1.49999996071404,409.0113488371,4095.99732308928,0.0599313072582963
"Guanidoacetic acid",2.2381465534767,0.970531080098971,0.22381465534767,0.139031935454336,0.201709957545583,14.4903200619234,3.63851001124665,0.515257890501452,307.133819605494,0.000314683547269447,0.203993119806159
"Guanine",9.97825414445037,0.874390454726856,0.997825414445037,0.29287453055595,0.487821823359456,3.66534308841713,28.9985763933846,-1.06278022041974,2.56151338362542e-07,1.2502322591076e-15,-1.48101507595313
"Guanosine",2.63055181187853,1.05442615358252,0.263055181187853,0.300024355554688,0.413305336632335,12.7293233077156,3.6774123236151,0.509756092329887,293.995866406675,0.000287160754926972,0.118567165619526
"Heptadecanoic acid",5.70861360756211,0.929578091155034,0.570861360756211,0.113545855483194,0.176441522373341,15.1393544362987,26.6618355200137,-0.409912997559501,5.62343351959419,6.51288657796335e-11,-0.551521627310025
"Heptylic acid",3.43593267607846,1.02125149397169,0.343593267607846,0.0589161814333437,0.0832524299561937,14.944983165999,2.63970139843046,0.623443742149449,372.920142171103,0.00190320912804315,-0.0567628722299695
"Hexanoyl-CoA",2.90761771146015,0.975494587768859,0.290761771146015,0.0415894280678943,-0.0197332729557422,15.6536017501842,2.00000053235881,1.49999995429525,409.080776849261,4095.99688571909,0.0582503927487086
